ID,vreme,domaci,gosti,D II 0-1,D II 2+
Mozzart154,2025-07-06 17:00:00,KR Reykjavik,Ka Akureyri,1.39,2.75
Oktagon191,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.59,2.15
Mystake100,2025-07-06 17:00:00,KR Reykjavik,Ka Akureyri,1.0,1.0
Volcano146,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.0,1.0
Balkan159,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.0,2.2
Planetwin113,2025-07-06 17:00:00,KR Reykjavik,Akureyri,1.62,2.15
Topbet154,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.65,2.1
Betole192,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.6,2.15
Superbet201,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.0,1.0
Pinbet160,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.0,1.0
Soccer170,2025-07-06 17:00:00,KR Reykjavik,KA Akureyri,1.65,2.05
