ID,vreme,domaci,gosti,G II 0-1,G II 2+
Betole59,2025-07-14 20:15:00,Akranes,KR Reykjavik,1.57,2.2
Soccer55,2025-07-14 20:15:00,Akranes,KR Reykjavik,1.58,2.17
Oktagon59,2025-07-14 20:15:00,Akranes,KR Reykjavik,1.57,2.18
Pinbet56,2025-07-14 20:15:00,Akranes,KR Reykjavik,1.0,1.0
Balkan63,2025-07-14 20:15:00,IA Akranes,KR Reykjavik,1.6,2.3
Topbet52,2025-07-14 20:15:00,IA Akranes,KR Reykjavik,1.6,2.2
Mozzart48,2025-07-14 20:15:00,Akranes,KR Reykjavik,1.41,2.7
Superbet62,2025-07-14 20:15:00,IA Akranes,KR Reykjavik,1.0,1.0
Mystake120,2025-07-14 20:15:00,IA Akranes,KR Reykjavik,1.0,1.0
Planetwin27,2025-07-14 20:15:00,Akranes,KR Reykjavik,1.59,2.2
