ID,vreme,domaci,gosti,ug 0-3,ug 4+
Pinbet121,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.71,2.17
Betole243,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.65,2.12
Topbet120,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping FK,1.72,2.09
Volcano759,2025-07-12 16:30:00,Malmö FF,IFK Norrköping,1.0,1.0
Balkan149,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping FK,1.63,2.15
Superbet234,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.0,1.0
Mystake98,2025-07-12 16:30:00,Malmo,Norrkoping,1.0,1.0
Mozzart139,2025-07-12 16:30:00,Malmo,Norrkoping,1.62,2.15
Soccer146,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.67,2.07
Oktagon244,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping,1.45,2.55
