ID,vreme,domaci,gosti,1,X,2
Mozzart118,2025-07-06 20:00:00,Joinville ,Marcílio Dias,2.3,3.0,3.2
Volcano250,2025-07-06 20:00:00,Joinville,Marcilio Dias SC,2.4,2.75,3.0
Planetwin65,2025-07-06 20:00:00,Joinville,Marcilio Dias,2.29,2.86,3.09
Superbet141,2025-07-06 20:00:00,Joinville,Marcilio Dias,2.32,2.82,3.2
Topbet125,2025-07-06 20:00:00,Joinville EC SC,CN Marcilio Dias SC,2.35,2.8,3.1
Mystake127,2025-07-06 20:00:00,Joinville EC  ,Marcilio Dias,2.25,2.75,3.1
Soccer125,2025-07-06 20:00:00,Joinville,Marcilio Dias,2.3,2.6,3.45
Balkan151,2025-07-06 20:00:00,Joinville EC SC,CN Marcilio Dias SC,2.5,2.7,2.95
Oktagon157,2025-07-06 20:00:00,Joinville,Marcilio Dias,2.8,2.75,2.6
Betole157,2025-07-06 20:00:00,Joinville,Marcilio Dias,2.77,2.73,2.6
