ID,vreme,domaci,gosti,ug 0-2,ug 3+
Topbet7,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,1.9,1.8
Soccer7,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,2.12,1.65
Volcano560,2025-07-13 12:35:00,Chengdu Rongcheng 2,Guangxi Lanhang,1.0,1.0
Balkan7,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,2.42,1.5
Superbet7,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,1.0,1.0
Oktagon7,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,2.25,1.54
Planetwin5,2025-07-13 12:35:00,Chengdu Rongcheng (B),Guangxi Lanhang,1.94,1.75
Betole7,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,2.27,1.55
Mystake640,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,1.0,1.0
Pinbet6,2025-07-13 12:35:00,Chengdu Rongcheng B,Guangxi Lanhang,2.33,1.52
Mozzart7,2025-07-13 12:35:00,Chengdu Rongcheng II,Guangxi L.,2.29,1.55
