ID,vreme,domaci,gosti,W1,W2
Oktagon165,2025-07-05 20:00:00,Marica,Boavista,1.0,1.0
Volcano98,2025-07-05 20:00:00,EC Marica RJ,Boavista SC RJ,1.67,2.02
Balkan148,2025-07-05 20:00:00,Marica FC RJ,Boavista SC RJ,1.0,1.0
Betole159,2025-07-05 20:00:00,Marica,Boavista,1.67,2.0
Mozzart99,2025-07-05 20:00:00,Marica,Boavista RJ,1.6,2.15
Planetwin53,2025-07-05 20:00:00,Marica,Boavista,1.38,2.7
Topbet122,2025-07-05 20:00:00,Marica FC RJ,Boavista SC RJ,1.0,1.0
Superbet143,2025-07-05 20:00:00,Marica,Boavista RJ,1.6,2.05
Soccer124,2025-07-05 20:00:00,Marica,Boavista,1.5,2.0
Mystake135,2025-07-05 20:00:00,Marica,Boavista RJ,1.62,2.07
