ID,vreme,domaci,gosti,1,X2
Mozzart0,2025-07-05 20:00:00,Internacional Limeira,Cascavel,1.57,2.25
Volcano679,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.56,2.2
Topbet17,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.58,2.2
Planetwin1,2025-07-05 20:00:00,Inter De Limeira,Cascavel,1.53,2.25
Pinbet9,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.57,2.2
Betole9,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.55,2.2
Mystake115,2025-07-05 20:00:00,Inter de Limeira SP,Cascavel PR,1.55,2.22
Balkan16,2025-07-05 20:00:00,AA Internacional Limeira SP,Cascavel PR,1.55,2.15
Soccer5,2025-07-05 20:00:00,Internacional de Limeira,Cascavel,1.62,2.03
Oktagon12,2025-07-05 20:00:00,Inter de Limeira,Cascavel,1.91,1.76
Superbet15,2025-07-05 20:00:00,Inter de Limeira,Cascavel PR,1.58,2.15
