ID,vreme,domaci,gosti,1,X,2
Mystake440,2025-06-30 17:00:00,Guarani de Fram,Guairena,2.6,2.65,2.85
Betole7,2025-06-30 17:00:00,Guarani de Fram,Guairena FC,2.37,2.93,2.88
Pinbet7,2025-06-30 17:00:00,Guarani de Fram,Guairena,2.81,2.8,2.66
Volcano122,2025-06-30 17:00:00,Guarani de Fram,Guaireña,2.7,2.95,2.5
Topbet11,2025-06-30 17:00:00,Guarani de Fram,Guairena FC,2.65,2.7,2.75
Soccer14,2025-06-30 17:00:00,Guarani de Fram,Guairena,2.65,2.75,2.7
Superbet8,2025-06-30 17:00:00,Guarani de Fram,Guairena,2.62,2.67,2.9
Planetwin4,2025-06-30 17:00:00,Guarani de Fram,Guairena,2.61,2.7,2.81
Oktagon13,2025-06-30 17:00:00,Guarani de Fram,Guairena FC,2.38,2.95,2.88
Mozzart14,2025-06-30 17:00:00,Guarani Fram,Guairena,2.5,2.4,3.4
Balkan10,2025-06-30 17:00:00,Guarani de Fram,Guairena FC,2.5,2.5,3.1
