ID,vreme,domaci,gosti,1,X2
Mystake550,2025-06-30 20:00:00,Inter Milan,Fluminense RJ,1.65,2.32
Topbet28,2025-06-30 20:00:00,Inter Milano,Fluminense FC RJ,1.72,2.2
Soccer30,2025-06-30 20:00:00,Inter Milan,Fluminense,1.73,2.15
Balkan32,2025-06-30 20:00:00,Inter Milano,Fluminense FC RJ,1.77,2.05
Betole40,2025-06-30 20:00:00,Inter,Fluminense,1.8,2.03
Oktagon40,2025-06-30 20:00:00,Inter,Fluminense,1.78,2.04
Volcano513,2025-06-30 20:00:00,Inter M.,Fluminense,1.73,2.1
Superbet41,2025-06-30 20:00:00,Inter Milano,Fluminense,1.71,2.15
Mozzart27,2025-06-30 20:00:00,Inter,Fluminense,1.7,2.14
Pinbet29,2025-06-30 20:00:00,Inter,Fluminense,1.73,2.12
