ID,vreme,domaci,gosti,1,X2
Mozzart0,2025-07-05 22:00:00,EC Sao Jose,Guarany Bage,1.37,2.85
Planetwin2,2025-07-05 22:00:00,Sao Jose,Guarany de Bage,1.38,2.66
Topbet2,2025-07-05 22:00:00,EC Sao Jose RS,Guarany de Bage FC,1.42,2.58
Volcano100,2025-07-05 22:00:00,Sao Jose RS,Guarany de Bagé,1.43,2.5
Betole0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.43,2.47
Oktagon0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.43,2.5
Mystake112,2025-07-05 22:00:00,Sao Jose RS,Guarany  RS,1.35,2.84
Balkan3,2025-07-05 22:00:00,EC Sao Jose RS,Guarany de Bage FC,1.38,2.6
Superbet1,2025-07-05 22:00:00,Sao Jose RS,Guarany RS,1.43,2.47
Pinbet0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.57,2.18
Soccer0,2025-07-05 22:00:00,EC Sao Jose,Guarany de Bage,1.43,2.43
