ID,vreme,domaci,gosti,ug 0-2,ug 3+
Pinbet121,2025-07-12 16:30:00,Malmo FF,Norrkoping,2.73,1.46
Betole243,2025-07-12 16:30:00,Malmo FF,Norrkoping,2.67,1.42
Topbet120,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping FK,2.8,1.45
Volcano759,2025-07-12 16:30:00,Malmö FF,IFK Norrköping,1.0,1.0
Balkan149,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping FK,2.8,1.45
Superbet234,2025-07-12 16:30:00,Malmo FF,Norrkoping,1.0,1.0
Mystake98,2025-07-12 16:30:00,Malmo,Norrkoping,1.0,1.0
Mozzart139,2025-07-12 16:30:00,Malmo,Norrkoping,2.55,1.45
Soccer146,2025-07-12 16:30:00,Malmo FF,Norrkoping,2.6,1.45
Oktagon244,2025-07-12 16:30:00,Malmo FF,IFK Norrkoping,2.22,1.58
